ID,Value,Source
bash1264-GB197,0,Yuldashev (1981:134)
bash1264-GB198,0,Poppe (1964:1-100)
bash1264-GB204,1,Poppe (1964:85)
bash1264-GB250,0,Dmitriev (1948:59-60)
bash1264-GB252,1,Poppe (1964:95)
bash1264-GB253,0,Dmitriev (1948:59-60)
bash1264-GB254,1,Dmitriev (1948:59-60)
bash1264-GB256,0,Dmitriev (1948:59-60)
bash1264-GB257,1,Yuldashev (1997: 215); Poppe (1964:95-96)
bash1264-GB260,0,Poppe (1964:95-96)
bash1264-GB262,0,Poppe (1964:95-96)
bash1264-GB263,1,Poppe (1964:95-96)
bash1264-GB264,0,Poppe (1964:95-96)
bash1264-GB265,0,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB266,1,Poppe (1964:36, 85); Yuldashev (1981:195)
bash1264-GB270,0,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB273,0,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB275,1,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB276,0,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB285,0,Poppe (1964:85); Yuldashev (1981:195)
bash1264-GB286,0,Poppe (1964:95-96)
bash1264-GB291,0,Poppe (1964:95-96)
bash1264-GB296,1,Yuldashev (1981:349)
bash1264-GB297,0,Poppe (1964:95-96)
bash1264-GB298,0,Poppe (1964:94-95)
bash1264-GB299,0,Poppe (1964:94-95)
bash1264-GB300,?,Poppe (1964:1-100)
bash1264-GB301,?,Poppe (1964:93)
bash1264-GB302,0,Poppe (1964:1-100)
bash1264-GB303,0,Poppe (1964:1-100)
bash1264-GB304,?,Poppe (1964:1-100)
bash1264-GB305,?,Poppe (1964:1-100)
bash1264-GB306,?,Poppe (1964:1-100)
bash1264-GB309,0,Poppe (1964:45-52)
bash1264-GB312,1,Yuldashev (1997: 212)
bash1264-GB313,1,Yuldashev (1997: 212); Dmitriev (1948:59-60); Yuldashev (1981:160)
bash1264-GB314,0,Poppe (1964:1-100)
bash1264-GB315,0,Poppe (1964:1-100)
bash1264-GB316,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB317,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB318,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB319,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB320,0,Yuldashev (1997: 211); Yuldashev (1981:117-120)
bash1264-GB321,0,Poppe (1964:1-100)
bash1264-GB322,0,Poppe (1964:1-100)
bash1264-GB323,0,Poppe (1964:1-100)
bash1264-GB324,0,Yuldashev (1981:157-158)
bash1264-GB325,0,Yuldashev (1981:157)
bash1264-GB326,0,Yuldashev (1981:157-158); Poppe (1964:95-96)
bash1264-GB327,0,Poppe (1964:1-100)
bash1264-GB328,1,Poppe (1964:94)
bash1264-GB329,0,Poppe (1964:1-100)
bash1264-GB330,0,Poppe (1964:1-100)
bash1264-GB331,0,Poppe (1964:1-100)
bash1264-GB333,1,Yuldashev (1981:161)
bash1264-GB334,0,Yuldashev (1981:161)
bash1264-GB335,0,Yuldashev (1981:161)
bash1264-GB336,0,Yuldashev (1981:161)
bash1264-GB400,?,Poppe (1964:1-100)
bash1264-GB401,?,Poppe (1964:1-100)
bash1264-GB402,?,Poppe (1964:1-100)
bash1264-GB403,?,Poppe (1964:1-100)
bash1264-GB408,1,Yuldashev (1997: 211)
bash1264-GB409,?,Poppe (1964:1-100)
bash1264-GB410,1,Poppe (1964:35)
bash1264-GB415,0,Yuldashev (1981:134)
bash1264-GB421,?,Poppe (1964:1-100)
bash1264-GB422,?,Poppe (1964:1-100)
bash1264-GB430,0,Dmitriev (1948:54-58)
bash1264-GB431,0,Dmitriev (1948:54-58)
bash1264-GB432,1,Dmitriev (1948:54-58)
bash1264-GB433,1,Dmitriev (1948:54-58)
bash1264-GB519,0,Poppe (1964:45-52)
bash1264-GB520,0,Poppe (1964:45-52)
bash1264-GB521,0,Poppe (1964:45-52)
bash1264-GB522,1,Yuldashev (1981:394)
bash1264-TE003,1,Poppe (1964:19); Yuldashev (1997:208)
bash1264-TE004,0,Poppe (1964:19); Yuldashev (1997: 208-210)
bash1264-TE005,0,Yuldashev (1981:60)
bash1264-TE006,0,Yuldashev (1981:56)
bash1264-TE007,0,Yuldashev (1997: 209); Yuldashev (1981:64-66)
bash1264-TE008,1,Yuldashev (1997: 208); Yuldashev (1981:44)
bash1264-TE018,0,Yuldashev (1997: 211); Yuldashev (1981:134)
bash1264-TE019,1,Yuldashev (1981:154)
bash1264-TE027,0,Yuldashev (1981:154-155)
